,url,length_of_url,number_of_dots,suspicious_words,number_of_hyphens_in_domain,length_of_directory,number_subdirectories_in_url,length_of_domain,words_in_domain,path_tokens,url_contains_ip,has_alexa_rank,use_https,country_code,age,words,entropy,special_chars,length_of_largest_domain_token,average_length_of_domain_tokens,length_of_largest_path_token,average_length_of_path_tokens,suspicious_tld_name,file_name_present,len_of_filename,num_dot_in_filename,num_delims_in_filename,args_present,length_of_arguments,number_of_argument_variables,length_of_largest_variable,maximum_number_of_delims_in_arguments,class
738,http://astore.amazon.co.uk/ukvisit-21/detail/B00008OP1S/203-6933174-0803961,68,3,0,0,30,3,19,4,3,0,0,0,101,1,12,4.8183,1,6,4.0,10,8.67,0,1,19,0,2,0,0,0,0,0,malicious
747,http://ancestry.co.uk/search/db.aspx?dbid=27463,40,3,0,0,8,1,14,3,1,0,1,0,225,1,9,4.56455,1,8,4.0,6,6.0,0,1,7,1,0,1,11,1,5,0,malicious
867,http://amazon.co.uk/gp/product/B000PDZHZ0/ref=br_nf_5_1/202-2513040-1206232?pf_rd_m=A3P5ROKL5A1OLE&pf_rd_s=center-12&pf_rd_r=1W3X0CA2B4X3Z726P6DT&pf_rd_t=101&pf_rd_p=130127691&pf_rd_i=283926,183,2,1,0,37,4,12,3,4,0,1,0,225,1,25,5.16736,1,6,3.33,13,8.0,0,1,19,0,2,1,115,6,20,2,malicious
914,http://ancestry.co.uk/search/db.aspx?dbid=18036,40,3,0,0,8,1,14,3,1,0,1,0,225,1,9,4.56455,1,8,4.0,6,6.0,0,1,7,1,0,1,11,1,5,0,malicious
1069,http://amazon.co.uk/b/ref=amb_link_18203665_25/202-2513040-1206232?ie=UTF8&node=560884&pf_rd_m=A3P5ROKL5A1OLE&pf_rd_s=center-4&pf_rd_r=02XP6Q7J6KRDNTM3P4YK&pf_rd_t=101&pf_rd_p=114929091&pf_rd_i=560858,193,2,0,0,28,2,12,3,2,0,1,0,225,1,25,5.28777,1,6,3.33,24,12.5,0,1,19,0,2,1,134,8,20,2,malicious
1081,http://astore.amazon.co.uk/ukvisit-21/listmania/2I11RE6UAU1GR/203-6933174-0803961,74,3,0,0,36,3,19,4,3,0,0,0,101,1,12,4.88898,1,6,4.0,13,10.67,0,1,19,0,2,0,0,0,0,0,malicious
1122,http://astore.amazon.co.uk/ukvisit-21/detail/B000025G1X/203-6933174-0803961,68,3,0,0,30,3,19,4,3,0,0,0,101,1,12,4.80822,1,6,4.0,10,8.67,0,1,19,0,2,0,0,0,0,0,malicious
1152,http://amazon.co.uk/gp/product/B000GFRIJA/ref=amb_link_36590765_4/202-2513040-1206232?pf_rd_m=A3P5ROKL5A1OLE&pf_rd_s=center-1&pf_rd_r=0F1X4FN5K5X47T60WCXY&pf_rd_t=101&pf_rd_p=121887091&pf_rd_i=293962011,195,2,1,0,47,4,12,3,4,0,1,0,225,1,24,5.30327,1,6,3.33,23,10.5,0,1,19,0,2,1,117,6,20,2,malicious
1225,http://astore.amazon.co.uk/ukvisit-21/detail/B00008CMUH/203-6933174-0803961,68,3,0,0,30,3,19,4,3,0,0,0,101,1,12,4.86156,1,6,4.0,10,8.67,0,1,19,0,2,0,0,0,0,0,malicious
1419,http://ancestry.co.uk/search/db.aspx?dbid=19793,40,3,0,0,8,1,14,3,1,0,1,0,225,1,9,4.522,1,8,4.0,6,6.0,0,1,7,1,0,1,11,1,5,0,malicious
1426,http://amazon.co.uk/s/ref=sr_nr_p_4_2/202-2513040-1206232?ie=UTF8&rh=n:560858,70,2,0,0,19,2,12,3,2,0,1,0,101,1,13,4.89163,1,6,3.33,15,8.0,0,1,19,0,2,1,20,2,8,0,malicious
1441,http://ancestry.co.uk/search/db.aspx?dbid=28989,40,3,0,0,8,1,14,3,1,0,1,0,225,1,9,4.47945,1,8,4.0,6,6.0,0,1,7,1,0,1,11,1,5,0,malicious
1481,http://astore.amazon.co.uk/allezvinsfrenchr/detail/0435233270/026-8324244-9330038,74,3,0,0,36,3,19,4,3,0,0,0,101,1,11,4.71315,1,6,4.0,16,10.67,0,1,19,0,2,0,0,0,0,0,malicious
1495,http://astore.amazon.co.uk/allezvinsfrenchr/detail/1843536811/026-8324244-9330038,74,3,0,0,36,3,19,4,3,0,0,0,101,1,11,4.77607,1,6,4.0,16,10.67,0,1,19,0,2,0,0,0,0,0,malicious
1504,http://amazon.co.uk/b/ref=amb_link_20107465_3/202-2513040-1206232?ie=UTF8&node=11714761&pf_rd_m=A3P5ROKL5A1OLE&pf_rd_s=center-2&pf_rd_r=0XJZBR13KN5TKX0WQ99D&pf_rd_t=101&pf_rd_p=85299291&pf_rd_i=11052651,195,2,0,0,27,2,12,3,2,0,1,0,225,1,25,5.26722,1,6,3.33,23,12.0,0,1,19,0,2,1,137,8,20,2,malicious
1639,http://amazon.co.uk/George-Foreman-10946-Cafe-grill/dp/B0000E6EEL/ref=pd_ts_c_th_1/202-2513040-1206232?pf_rd_m=A3P5ROKL5A1OLE&pf_rd_s=right-4&pf_rd_r=0TS6JF2QDHDKHAZB67FW&pf_rd_t=101&pf_rd_p=138066691&pf_rd_i=3147441,209,2,1,0,64,4,12,3,4,0,1,0,225,1,28,5.32986,1,6,3.33,31,14.75,0,1,19,0,2,1,114,6,20,2,malicious
1725,http://amazon.co.uk/o/ASIN/B000MWQTLA/ref=s9_asin_image_2/202-2513040-1206232?pf_rd_m=A3P5ROKL5A1OLE&pf_rd_s=center-1&pf_rd_r=1M921AXBVE2SY3XQEGHE&pf_rd_t=101&pf_rd_p=139039591&pf_rd_i=468294,184,2,0,0,39,4,12,3,4,0,1,0,101,1,23,5.32157,1,6,3.33,19,8.5,0,1,19,0,2,1,114,6,20,2,malicious
1729,http://amazon.co.uk/Call-Duty-3-Xbox-360/dp/customer-reviews/B000FN5EZS/ref=br_lf_m_1000033313_1_9_rvw/202-2513040-1206232?_encoding=UTF8&m=A3P5ROKL5A1OLE&s=videogames&pf_rd_m=A3P5ROKL5A1OLE&pf_rd_s=center-2&pf_rd_r=15DD84K0QG34J8ZWNM06&pf_rd_t=1401&pf_rd_p=125224691&pf_rd_i=1000033313,279,2,1,0,84,5,12,3,5,0,1,0,225,1,32,5.43087,1,6,3.33,30,15.6,0,1,19,0,2,1,164,9,20,2,malicious
1730,http://astore.amazon.co.uk/allezvinsfrenchr/detail/B00008IUX6/026-8324244-9330038,74,3,0,0,36,3,19,4,3,0,0,0,101,1,11,4.82371,1,6,4.0,16,10.67,0,1,19,0,2,0,0,0,0,0,malicious
1799,http://amazon.co.uk/gp/product/B000092WCG/ref=amb_link_41243165_3/202-2513040-1206232?pf_rd_m=A3P5ROKL5A1OLE&pf_rd_s=right-3&pf_rd_r=06DDYXHV33T1RYQH2MKQ&pf_rd_t=101&pf_rd_p=138466091&pf_rd_i=468294,191,2,1,0,47,4,12,3,4,0,1,0,101,1,24,5.29876,1,6,3.33,23,10.5,0,1,19,0,2,1,113,6,20,2,malicious
1884,http://ancestry.co.uk/search/db.aspx?dbid=11575,40,3,0,0,8,1,14,3,1,0,1,0,225,1,9,4.47945,1,8,4.0,6,6.0,0,1,7,1,0,1,11,1,5,0,malicious
1890,http://astore.amazon.co.uk/ukvisit-21/detail/B0002LHXBG/203-6933174-0803961,68,3,0,0,30,3,19,4,3,0,0,0,101,1,12,4.88004,1,6,4.0,10,8.67,0,1,19,0,2,0,0,0,0,0,malicious
1911,http://ancestry.co.uk/search/db.aspx?dbid=11369,40,3,0,0,8,1,14,3,1,0,1,0,225,1,9,4.522,1,8,4.0,6,6.0,0,1,7,1,0,1,11,1,5,0,malicious
1963,http://astore.amazon.co.uk/allezvinsfrenchr/detail/184112656X/026-8324244-9330038,74,3,0,0,36,3,19,4,3,0,0,0,101,1,11,4.83477,1,6,4.0,16,10.67,0,1,19,0,2,0,0,0,0,0,malicious
1969,http://ancestry.co.uk/search/rectype/alldblist.aspx?sourceLink=,56,3,0,0,16,2,14,3,2,0,1,0,225,1,9,4.35332,1,8,4.0,7,6.5,0,1,14,1,0,1,12,1,0,0,malicious
2033,http://ancestry.co.uk/search/db.aspx?dbid=13315,40,3,0,0,8,1,14,3,1,0,1,0,225,1,9,4.47945,1,8,4.0,6,6.0,0,1,7,1,0,1,11,1,5,0,malicious
2120,http://astore.amazon.co.uk/allezvinsfrenchr/detail/0340737441/026-8324244-9330038,74,3,0,0,36,3,19,4,3,0,0,0,101,1,11,4.73151,1,6,4.0,16,10.67,0,1,19,0,2,0,0,0,0,0,malicious
2201,http://ancestry.co.uk/search/db.aspx?dbid=17236,40,3,0,0,8,1,14,3,1,0,1,0,225,1,9,4.56455,1,8,4.0,6,6.0,0,1,7,1,0,1,11,1,5,0,malicious
2304,http://amazon.co.uk/b/ref=amb_link_18295865_1/202-2513040-1206232?ie=UTF8&node=13437991&pf_rd_m=A3P5ROKL5A1OLE&pf_rd_s=center-1&pf_rd_r=05GGXC7VX1N13AAGQ5WM&pf_rd_t=101&pf_rd_p=132500991&pf_rd_i=655852,194,2,0,0,27,2,12,3,2,0,1,0,225,1,25,5.26163,1,6,3.33,23,12.0,0,1,19,0,2,1,136,8,20,2,malicious
2314,http://amazon.co.uk/b/ref=amb_link_34313265_11/202-2513040-1206232?ie=UTF8&node=1027628&pf_rd_m=A3P5ROKL5A1OLE&pf_rd_s=left-1&pf_rd_r=0826QJAY7KA5AD05MYMR&pf_rd_t=101&pf_rd_p=116575691&pf_rd_i=501858,192,2,0,0,28,2,12,3,2,0,1,0,225,1,25,5.20521,1,6,3.33,24,12.5,0,1,19,0,2,1,133,8,20,2,malicious
2326,http://astore.amazon.co.uk/ukvisit-21/listmania/R3GDB0YP2LYEXA/203-6933174-0803961,75,3,0,0,37,3,19,4,3,0,0,0,101,1,12,5.02985,1,6,4.0,14,11.0,0,1,19,0,2,0,0,0,0,0,malicious
2349,http://amazon.co.uk/Canon-400d-kit-far/lm/R3I5K6BARFYA6Z/ref=cm_lmt_srch_f_1/202-2513040-1206232,89,2,1,0,58,4,12,3,4,0,1,0,225,1,15,5.03988,1,6,3.33,19,13.25,0,1,19,0,2,0,0,0,0,0,malicious
2355,http://amazon.co.uk/s/ref=sr_nr_n_12/202-2513040-1206232?ie=UTF8&rh=n:725726,69,2,0,0,18,2,12,3,2,0,1,0,225,1,13,4.87416,1,6,3.33,14,7.5,0,1,19,0,2,1,20,2,8,0,malicious
2370,http://astore.amazon.co.uk/ukvisit-21/listmania/R27P0OUXT2X7OS/203-6933174-0803961,75,3,0,0,37,3,19,4,3,0,0,0,101,1,12,4.9519199999999985,1,6,4.0,14,11.0,0,1,19,0,2,0,0,0,0,0,malicious
2385,http://ancestry.co.uk/search/locality/dbpage.aspx?tp=2&p=15&categoryFilterID=38&showPaging=true,88,3,0,0,17,2,14,3,2,0,1,0,225,1,14,4.7791,1,8,4.0,8,7.0,0,1,11,1,0,1,46,4,4,0,malicious
2446,http://amazon.co.uk/s/ref=sr_nr_p_3_3/202-2513040-1206232?ie=UTF8&rh=n:560834,70,2,0,0,19,2,12,3,2,0,1,0,225,1,13,4.8921800000000015,1,6,3.33,15,8.0,0,1,19,0,2,1,20,2,8,0,malicious
2505,http://ancestry.co.uk/search/db.aspx?dbid=25619,40,3,0,0,8,1,14,3,1,0,1,0,225,1,9,4.56455,1,8,4.0,6,6.0,0,1,7,1,0,1,11,1,5,0,malicious
2531,http://amazon.co.uk/s/ref=amb_link_38340765_68/202-2513040-1206232?ie=UTF8&search-alias=music&field-keywords=now%20thats%20what%20i%20call%20music&pf_rd_m=A3P5ROKL5A1OLE&pf_rd_s=center-9&pf_rd_r=0AXF32ZAFNRTNZ8401Y3&pf_rd_t=101&pf_rd_p=137660691&pf_rd_i=229816,264,2,0,0,42,4,6,1,4,0,0,0,248,0,34,5.3997199999999985,1,6,6.0,24,9.25,0,1,19,0,2,1,197,9,39,2,malicious
2584,http://ancestry.co.uk/search/db.aspx?dbid=8045,39,3,0,0,8,1,14,3,1,0,1,0,225,1,9,4.5121400000000005,1,8,4.0,6,6.0,0,1,7,1,0,1,10,1,4,0,malicious
2595,http://astore.amazon.co.uk/ukvisit-21/detail/B000F59HN6/203-6933174-0803961,68,3,0,0,30,3,19,4,3,0,0,0,101,1,12,4.86996,1,6,4.0,10,8.67,0,1,19,0,2,0,0,0,0,0,malicious
2617,http://amazon.co.uk/o/ASIN/B000F0IOVM/ref=s9_asin_title_2/202-2513040-1206232?pf_rd_m=A3P5ROKL5A1OLE&pf_rd_s=center-4&pf_rd_r=00369Y0BS3W39NQMKC3H&pf_rd_t=101&pf_rd_p=137839191&pf_rd_i=468294,184,2,0,0,39,4,12,3,4,0,1,0,101,1,23,5.30858,1,6,3.33,19,8.5,0,1,19,0,2,1,114,6,20,2,malicious
2766,http://astore.amazon.co.uk/ukvisit-21/detail/B00009Y3OF/203-6933174-0803961,68,3,0,0,30,3,19,4,3,0,0,0,101,1,12,4.80335,1,6,4.0,10,8.67,0,1,19,0,2,0,0,0,0,0,malicious
2801,http://amazon.co.uk/s/ref=sr_nr_p_3_2/202-2513040-1206232?ie=UTF8&rh=n:520920,70,2,0,0,19,2,12,3,2,0,1,0,225,1,13,4.8394,1,6,3.33,15,8.0,0,1,19,0,2,1,20,2,8,0,malicious
2807,http://astore.amazon.co.uk/allezvinsfrenchr/detail/0245607439/026-8324244-9330038,74,3,0,0,36,3,19,4,3,0,0,0,101,1,11,4.76305,1,6,4.0,16,10.67,0,1,19,0,2,0,0,0,0,0,malicious
2875,http://amazon.co.uk/Mer-Prelude-Lapres-Midi-Faune-Baudo/dp/B00068V3BQ/ref=br_lf_m_1000045983_1_10_ttl/202-2513040-1206232?_encoding=UTF8&m=A3P5ROKL5A1OLE&s=music&pf_rd_m=A3P5ROKL5A1OLE&pf_rd_s=center-2&pf_rd_r=1MW9ZH9QZF5VHZJHJ4AR&pf_rd_t=1401&pf_rd_p=137797691&pf_rd_i=1000045983,273,2,1,0,83,4,12,3,4,0,1,0,101,1,32,5.40716,1,6,3.33,35,19.5,0,1,19,0,2,1,159,9,20,2,malicious
2908,http://astore.amazon.co.uk/allezvinsfrenchr/detail/1591430127/026-8324244-9330038,74,3,0,0,36,3,19,4,3,0,0,0,101,1,11,4.81816,1,6,4.0,16,10.67,0,1,19,0,2,0,0,0,0,0,malicious
2963,http://astore.amazon.co.uk/ukvisit-21/listmania/R2AKM1U0W1Q0IY/203-6933174-0803961,75,3,0,0,37,3,19,4,3,0,0,0,101,1,12,4.97064,1,6,4.0,14,11.0,0,1,19,0,2,0,0,0,0,0,malicious
2975,http://amazon.co.uk/Travel-Games-Puzzles-Toys/b/202-2513040-1206232?_encoding=UTF8&node=3852191&pf_rd_m=A3P5ROKL5A1OLE&pf_rd_s=center-8&pf_rd_r=0ZGTQP83EF79KH6336Q5&pf_rd_t=101&pf_rd_p=136863991&pf_rd_i=468292,202,2,0,0,29,2,12,3,2,0,1,0,225,1,27,5.38138,1,6,3.33,25,13.0,0,1,19,0,2,1,142,8,20,2,malicious
3056,http://ancestry.co.uk/search/db.aspx?dbid=17719,40,3,0,0,8,1,14,3,1,0,1,0,225,1,9,4.47945,1,8,4.0,6,6.0,0,1,7,1,0,1,11,1,5,0,malicious
3071,http://astore.amazon.co.uk/ukvisit-21/detail/140630137X/203-6933174-0803961,68,3,0,0,30,3,19,4,3,0,0,0,101,1,12,4.71386,1,6,4.0,10,8.67,0,1,19,0,2,0,0,0,0,0,malicious
3088,http://ancestry.co.uk/search/db.aspx?dbid=22195,40,3,0,0,8,1,14,3,1,0,1,0,225,1,9,4.522,1,8,4.0,6,6.0,0,1,7,1,0,1,11,1,5,0,malicious
3090,http://astore.amazon.co.uk/allezvinsfrenchr/detail/9812349200/026-8324244-9330038,74,3,0,0,36,3,19,4,3,0,0,0,101,1,11,4.71972,1,6,4.0,16,10.67,0,1,19,0,2,0,0,0,0,0,malicious
3107,http://astore.amazon.co.uk/allezvinsfrenchr/detail/B0009RWI2C/026-8324244-9330038,74,3,0,0,36,3,19,4,3,0,0,0,101,1,11,4.86878,1,6,4.0,16,10.67,0,1,19,0,2,0,0,0,0,0,malicious
3130,http://amazon.co.uk/s/ref=amb_link_38340765_36/202-2513040-1206232?ie=UTF8&search-alias=music&field-artist=gwen%20stefani&pf_rd_m=A3P5ROKL5A1OLE&pf_rd_s=center-9&pf_rd_r=0PV1QHC61P48Q9XR4DMH&pf_rd_t=101&pf_rd_p=137660691&pf_rd_i=229816,228,2,0,0,28,2,12,3,2,0,1,0,101,1,30,5.37601,1,6,3.33,24,12.5,0,1,19,0,2,1,169,9,20,2,malicious
3213,http://amazon.co.uk/b/ref=amb_link_18189865_26/202-2513040-1206232?ie=UTF8&node=1100654&pf_rd_m=A3P5ROKL5A1OLE&pf_rd_s=left-2&pf_rd_r=100Y6QVG9BXXX4T7VDGW&pf_rd_t=101&pf_rd_p=137869491&pf_rd_i=231193,192,2,0,0,28,2,12,3,2,0,1,0,225,1,25,5.29716,1,6,3.33,24,12.5,0,1,19,0,2,1,133,8,20,2,malicious
3260,http://amazon.co.uk/b/ref=amb_link_19332365_17/202-2513040-1206232?ie=UTF8&node=10918781&pf_rd_m=A3P5ROKL5A1OLE&pf_rd_s=left-1&pf_rd_r=02HBTDPPC18XZTHQPKH0&pf_rd_t=101&pf_rd_p=132573191&pf_rd_i=11052671,195,2,0,0,28,2,12,3,2,0,1,0,101,1,25,5.23285,1,6,3.33,24,12.5,0,1,19,0,2,1,136,8,20,2,malicious
3295,http://astore.amazon.co.uk/allezvinsfrenchr/detail/B000JFXTHC/026-8324244-9330038,74,3,0,0,36,3,19,4,3,0,0,0,101,1,11,4.93354,1,6,4.0,16,10.67,0,1,19,0,2,0,0,0,0,0,malicious
3347,http://amazon.co.uk/Eidos-LEGO-Star-Wars-PC/dp/B0007TY71M/ref=br_lf_m_580338_1_17_ttl/202-2513040-1206232?_encoding=UTF8&m=A3P5ROKL5A1OLE&s=videogames&pf_rd_m=A3P5ROKL5A1OLE&pf_rd_s=center-2&pf_rd_r=088G7FTC09W5YFSBGKG9&pf_rd_t=1401&pf_rd_p=139017291&pf_rd_i=580338,258,2,1,0,67,4,12,3,4,0,1,0,101,1,31,5.40269,1,6,3.33,27,15.5,0,1,19,0,2,1,160,9,20,2,malicious
3348,http://ancestry.co.uk/search/db.aspx?dbid=17353,40,3,0,0,8,1,14,3,1,0,1,0,225,1,9,4.522,1,8,4.0,6,6.0,0,1,7,1,0,1,11,1,5,0,malicious
3376,http://amazon.co.uk/b/ref=amb_link_39802365_5/202-2513040-1206232?ie=UTF8&node=13831911&pf_rd_m=A3P5ROKL5A1OLE&pf_rd_s=center-8&pf_rd_r=1F3B8EATKZ4DVBDBVMHQ&pf_rd_t=101&pf_rd_p=138888591&pf_rd_i=468294,194,2,0,0,27,2,12,3,2,0,1,0,225,1,25,5.28457,1,6,3.33,23,12.0,0,1,19,0,2,1,136,8,20,2,malicious
3502,http://astore.amazon.co.uk/allezvinsfrenchr/detail/0141500646/026-8324244-9330038,74,3,0,0,36,3,19,4,3,0,0,0,101,1,11,4.76552,1,6,4.0,16,10.67,0,1,19,0,2,0,0,0,0,0,malicious
3608,http://amazon.co.uk/gp/product/rentals/B000ENV5WK/ref=rent_brws_list_10/202-2513040-1206232,84,2,1,0,53,5,12,3,5,0,1,0,225,1,13,4.93992,1,6,3.33,21,9.4,0,1,19,0,2,0,0,0,0,0,malicious
3630,http://astore.amazon.co.uk/ukvisit-21/listmania/R1241NK20X3NXQ/203-6933174-0803961,75,3,0,0,37,3,19,4,3,0,0,0,101,1,12,4.85789,1,6,4.0,14,11.0,0,1,19,0,2,0,0,0,0,0,malicious
3690,http://astore.amazon.co.uk/allezvinsfrenchr/detail/B0000DIXN7/026-8324244-9330038,74,3,0,0,36,3,19,4,3,0,0,0,101,1,11,4.88241,1,6,4.0,16,10.67,0,1,19,0,2,0,0,0,0,0,malicious
3906,http://amazon.co.uk/Great-Western-James-Dean-Bradfield/dp/B000G2Y69S/ref=br_lf_m_1000033103_1_12_img/202-2513040-1206232?_encoding=UTF8&m=A3P5ROKL5A1OLE&s=music&pf_rd_m=A3P5ROKL5A1OLE&pf_rd_s=center-2&pf_rd_r=1VKGJ1R5DG114MM4SZ2E&pf_rd_t=1401&pf_rd_p=128462491&pf_rd_i=1000033103,272,2,1,0,82,4,12,3,4,0,1,0,225,1,31,5.31628,1,6,3.33,34,19.25,0,1,19,0,2,1,159,9,20,2,malicious
3964,http://astore.amazon.co.uk/allezvinsfrenchr/026-8324244-9330038?_encoding=UTF8&node=21,79,3,0,0,18,1,19,4,1,0,0,0,101,1,13,5.03064,1,6,4.0,16,16.0,0,1,19,0,2,1,23,2,4,1,malicious
4012,http://ancestry.co.uk/s0/search/rd.ashx?db=redbook&f3=gs103,52,3,1,0,11,2,14,3,2,0,1,0,225,1,12,4.53935,1,8,4.0,6,4.0,0,1,7,1,0,1,20,2,7,0,malicious
4029,http://ancestry.co.uk/search/db.aspx?dbid=29939,40,3,0,0,8,1,14,3,1,0,1,0,225,1,9,4.46339,1,8,4.0,6,6.0,0,1,7,1,0,1,11,1,5,0,malicious
4032,http://amazon.co.uk/s/ref=sr_pg_4/202-2513040-1206232?ie=UTF8&rh=n:520920,66,2,0,0,15,2,12,3,2,0,1,0,225,1,13,4.92094,1,6,3.33,11,6.0,0,1,19,0,2,1,20,2,8,0,malicious
4109,http://astore.amazon.co.uk/allezvinsfrenchr/detail/B000002LF0/026-8324244-9330038,74,3,0,0,36,3,19,4,3,0,0,0,101,1,11,4.73273,1,6,4.0,16,10.67,0,1,19,0,2,0,0,0,0,0,malicious
4119,http://ancestry.co.uk/search/locality/dbpage.aspx?tp=2&p=31&categoryFilterID=34&showPaging=true,88,3,0,0,17,2,14,3,2,0,1,0,225,1,14,4.75804,1,8,4.0,8,7.0,0,1,11,1,0,1,46,4,4,0,malicious
4136,http://astore.amazon.co.uk/allezvinsfrenchr/detail/0688113559/026-8324244-9330038,74,3,0,0,36,3,19,4,3,0,0,0,101,1,11,4.80885,1,6,4.0,16,10.67,0,1,19,0,2,0,0,0,0,0,malicious
4190,http://ancestry.co.uk/search/db.aspx?dbid=6462,39,3,0,0,8,1,14,3,1,0,1,0,225,1,9,4.46866,1,8,4.0,6,6.0,0,1,7,1,0,1,10,1,4,0,malicious
4218,http://ancestry.co.uk/search/db.aspx?dbid=18083,40,3,0,0,8,1,14,3,1,0,1,0,225,1,9,4.522,1,8,4.0,6,6.0,0,1,7,1,0,1,11,1,5,0,malicious
4244,http://astore.amazon.co.uk/ukvisit-21/detail/B000001BES/203-6933174-0803961,68,3,0,0,30,3,19,4,3,0,0,0,101,1,12,4.76032,1,6,4.0,10,8.67,0,1,19,0,2,0,0,0,0,0,malicious
4281,http://astore.amazon.co.uk/allezvinsfrenchr/detail/0764552422/026-8324244-9330038,74,3,0,0,36,3,19,4,3,0,0,0,101,1,11,4.75946,1,6,4.0,16,10.67,0,1,19,0,2,0,0,0,0,0,malicious
4284,http://amazon.co.uk/s/ref=sr_pg_10/202-2513040-1206232?ie=UTF8&rh=n:520920,67,2,0,0,16,2,12,3,2,0,1,0,225,1,13,4.89157,1,6,3.33,12,6.5,0,1,19,0,2,1,20,2,8,0,malicious
