,url,length_of_url,number_of_dots,number_of_hyphens_in_domain,length_of_directory,length_of_domain,words_in_domain,has_alexa_rank,country_code,words,length_of_largest_domain_token,length_of_largest_path_token,len_of_filename,num_dot_in_filename,num_delims_in_filename,length_of_arguments,length_of_largest_variable
14,http://bjpgqsc.com/jypt/class/?0.html&page=2&showtj=&showhot=&key=,59.0,2.0,0.0,12.0,11.0,2.0,0.0,225.0,10.0,7.0,5.0,0.0,0.0,0.0,36.0,1.0
15,http://9779.info/%E6%88%91%E7%9A%84%E5%91%A8%E6%9C%AB%E5%89%AA%E8%B4%B4%E7%94%BB/,74.0,1.0,0.0,65.0,9.0,2.0,1.0,225.0,19.0,4.0,63.0,0.0,0.0,0.0,0.0,0.0
17,http://9779.info/%E7%B2%98%E8%B4%B4%E7%94%BB%E7%9A%B1%E7%BA%B9%E7%BA%B8%E5%9B%A2/,74.0,1.0,0.0,65.0,9.0,2.0,1.0,225.0,18.0,4.0,63.0,0.0,0.0,0.0,0.0,0.0
18,http://9779.info/%E5%8D%A1%E7%BA%B8%E5%89%AA%E8%B4%B4%E7%94%BB/,56.0,1.0,0.0,47.0,9.0,2.0,1.0,225.0,15.0,4.0,45.0,0.0,0.0,0.0,0.0,0.0
21,http://9779.info/%E5%8D%A1%E7%BA%B8%E7%AB%8B%E4%BD%93%E6%89%8B%E5%B7%A5%E7%B2%98%E8%B4%B4%E7%94%BB/,92.0,1.0,0.0,83.0,9.0,2.0,1.0,225.0,24.0,4.0,81.0,0.0,0.0,0.0,0.0,0.0
22,http://9779.info/%E7%A2%8E%E5%B8%83%E5%A4%B4%E5%88%B6%E4%BD%9C%E8%B4%B4%E7%94%BB%E6%95%99%E7%A8%8B/,92.0,1.0,0.0,83.0,9.0,2.0,1.0,225.0,24.0,4.0,81.0,0.0,0.0,0.0,0.0,0.0
23,http://bjpgqsc.com/gwzh/class/?0.html&page=3&showtj=&showhot=&key=,59.0,2.0,0.0,12.0,11.0,2.0,0.0,225.0,10.0,7.0,5.0,0.0,0.0,0.0,36.0,1.0
24,http://haishundl.com/a/qinpengqipaiguanfangxiazai/20131004/148.html,60.0,2.0,0.0,39.0,13.0,2.0,0.0,225.0,7.0,9.0,26.0,8.0,1.0,0.0,0.0,0.0
26,http://bjpgqsc.com/jypt/class/?0.html&page=4&showtj=&showhot=&key=,59.0,2.0,0.0,12.0,11.0,2.0,0.0,225.0,10.0,7.0,5.0,0.0,0.0,0.0,36.0,1.0
27,http://9779.info/%E5%B9%BF%E5%91%8A%E5%92%8C%E6%8B%9B%E8%B4%B4%E7%94%BB%E5%84%BF%E7%AB%A5%E7%94%BB/,92.0,1.0,0.0,83.0,9.0,2.0,1.0,225.0,21.0,4.0,81.0,0.0,0.0,0.0,0.0,0.0
28,http://www.kaiyue88.com/img/aHR0cDovL3dlbndlbi5zb3NvLmNvbS9wLzIwMTExMjAxLzIwMTExMjAxMjAzNTM1LTE3OTMyODc2NDYuanBn.jpg,109.0,3.0,0.0,5.0,16.0,3.0,0.0,225.0,7.0,8.0,3.0,88.0,1.0,0.0,0.0,0.0
29,http://9779.info/%E5%84%BF%E7%AB%A5%E5%A2%99%E4%B8%8A%E8%A3%85%E9%A5%B0%E8%B4%B4%E7%94%BB/,83.0,1.0,0.0,74.0,9.0,2.0,1.0,225.0,22.0,4.0,72.0,0.0,0.0,0.0,0.0,0.0
30,http://9779.info/%E7%8E%B0%E4%BB%A3%E6%8B%9B%E8%B4%B4%E7%94%BB%E8%AE%BE%E8%AE%A1/,74.0,1.0,0.0,65.0,9.0,2.0,1.0,225.0,18.0,4.0,63.0,0.0,0.0,0.0,0.0,0.0
34,http://lofeier.com/css/style.css?rte=1&tm=2&dn=lofeier.com&tid=1020&def=Akamai%3aHostingURL%3dhttp%3a%2f%2fi.nuseek.com,112.0,5.0,0.0,5.0,11.0,2.0,0.0,225.0,18.0,7.0,3.0,9.0,1.0,0.0,87.0,47.0
35,http://9779.info/%E5%85%B3%E4%BA%8E%E5%A4%A9%E6%B0%94%E7%9A%84%E5%89%AA%E8%B4%B4%E7%94%BB/,83.0,1.0,0.0,74.0,9.0,2.0,1.0,225.0,22.0,4.0,72.0,0.0,0.0,0.0,0.0,0.0
36,http://9779.info/%E5%B9%BC%E5%84%BF%E5%88%9B%E6%84%8F%E8%B1%86%E5%AD%90%E7%B2%98%E8%B4%B4%E7%94%BB/,92.0,1.0,0.0,83.0,9.0,2.0,1.0,225.0,23.0,4.0,81.0,0.0,0.0,0.0,0.0,0.0
38,http://9779.info/%E6%A0%91%E5%8F%B6%E7%B2%98%E8%B4%B4%E7%94%BB/,56.0,1.0,0.0,47.0,9.0,2.0,1.0,225.0,16.0,4.0,45.0,0.0,0.0,0.0,0.0,0.0
39,http://9779.info/%E5%8A%A8%E7%89%A9%E7%BA%B8%E7%BB%B3%E7%B2%98%E8%B4%B4%E7%94%BB/,74.0,1.0,0.0,65.0,9.0,2.0,1.0,225.0,18.0,4.0,63.0,0.0,0.0,0.0,0.0,0.0
40,http://9779.info/%E6%A0%91%E5%8F%B6%20%E8%B4%B4%E7%94%BB%E5%9B%BE%E7%89%87%E6%AC%A3%E8%B5%8F/,86.0,1.0,0.0,77.0,9.0,2.0,1.0,225.0,22.0,4.0,75.0,0.0,0.0,0.0,0.0,0.0
41,http://9779.info/%E8%B1%86%E5%AD%90%E7%B2%98%E8%B4%B4%E7%94%BB/,56.0,1.0,0.0,47.0,9.0,2.0,1.0,225.0,15.0,4.0,45.0,0.0,0.0,0.0,0.0,0.0
42,http://9779.info/%E5%90%91%E6%97%A5%E8%91%B5%E6%8B%BC%E8%B4%B4%E7%94%BB/,65.0,1.0,0.0,56.0,9.0,2.0,1.0,225.0,17.0,4.0,54.0,0.0,0.0,0.0,0.0,0.0
43,http://9779.info/%E7%BE%8E%E6%9C%AF%E9%B8%A1%E8%9B%8B%E7%B2%98%E8%B4%B4%E7%94%BB%E5%9B%BE%E7%89%87/,92.0,1.0,0.0,83.0,9.0,2.0,1.0,225.0,23.0,4.0,81.0,0.0,0.0,0.0,0.0,0.0
45,http://9779.info/%E5%B9%BC%E5%84%BF%E5%9B%AD%E7%AA%97%E6%88%B7%E5%8D%A1%E7%BA%B8%E8%B4%B4%E7%94%BB/,92.0,1.0,0.0,83.0,9.0,2.0,1.0,225.0,24.0,4.0,81.0,0.0,0.0,0.0,0.0,0.0
46,http://bjpgqsc.com/jypt/class/?0.html&page=3&showtj=&showhot=&key=,59.0,2.0,0.0,12.0,11.0,2.0,0.0,225.0,10.0,7.0,5.0,0.0,0.0,0.0,36.0,1.0
47,http://9779.info/ppt%E5%89%AA%E8%B4%B4%E7%94%BB%20%E5%9B%A2%E9%98%9F/,62.0,1.0,0.0,53.0,9.0,2.0,1.0,225.0,18.0,4.0,51.0,0.0,0.0,0.0,0.0,0.0
48,http://9779.info/%E5%BD%A9%E7%BA%B8%E5%89%AA%E8%B4%B4%E7%94%BB%E8%8A%B1%E6%9C%B5%E5%9B%BE%E7%89%87/,92.0,1.0,0.0,83.0,9.0,2.0,1.0,225.0,23.0,4.0,81.0,0.0,0.0,0.0,0.0,0.0
50,http://9779.info/%E7%AB%8B%E4%BD%93%E5%B8%83%E8%B4%B4%E7%94%BB%E4%BA%BA%E7%89%A9%E5%9B%BE%E7%89%87/,92.0,1.0,0.0,83.0,9.0,2.0,1.0,225.0,22.0,4.0,81.0,0.0,0.0,0.0,0.0,0.0
54,http://9779.info/%E7%94%B5%E8%A7%86%E5%A2%99%E8%B4%B4%E7%94%BB%E5%9B%BE%E7%89%87%E6%AC%A3%E8%B5%8F/,92.0,1.0,0.0,83.0,9.0,2.0,1.0,225.0,22.0,4.0,81.0,0.0,0.0,0.0,0.0,0.0
56,http://9779.info/%E4%BA%91%E5%8D%97%E7%94%BB%E5%AE%B6%E6%9D%8E%E5%BF%A0%E8%89%AF/,74.0,1.0,0.0,65.0,9.0,2.0,1.0,225.0,22.0,4.0,63.0,0.0,0.0,0.0,0.0,0.0
57,http://9779.info/%E5%8F%A4%E4%BB%A3%E4%BA%8C%E5%8D%81%E5%9B%9B%E5%AD%9D%E5%B8%83%E8%B4%B4%E7%94%BB/,92.0,1.0,0.0,83.0,9.0,2.0,1.0,225.0,22.0,4.0,81.0,0.0,0.0,0.0,0.0,0.0
58,http://9779.info/%E4%BC%98%E7%A7%80%E5%8D%A1%E7%BA%B8%E5%89%AA%E8%B4%B4%E7%94%BB/,74.0,1.0,0.0,65.0,9.0,2.0,1.0,225.0,20.0,4.0,63.0,0.0,0.0,0.0,0.0,0.0
60,http://bjpgqsc.com/jypt/class/?0.html&page=5&showtj=&showhot=&key=,59.0,2.0,0.0,12.0,11.0,2.0,0.0,225.0,10.0,7.0,5.0,0.0,0.0,0.0,36.0,1.0
62,http://9779.info/%E6%A0%91%E5%8F%B6%E8%8A%B1%E7%93%A3%E7%9A%84%E7%B2%98%E8%B4%B4%E7%94%BB/,83.0,1.0,0.0,74.0,9.0,2.0,1.0,225.0,22.0,4.0,72.0,0.0,0.0,0.0,0.0,0.0
66,http://9779.info/%E5%B9%BC%E5%84%BF%E7%B2%98%E8%B4%B4%E7%94%BB%E5%B0%8F%E9%B1%BC/,74.0,1.0,0.0,65.0,9.0,2.0,1.0,225.0,19.0,4.0,63.0,0.0,0.0,0.0,0.0,0.0
67,http://9779.info/%E4%BA%94%E8%B0%B7%E6%9D%82%E7%B2%AE%E4%BA%BA%E7%89%A9%E7%B2%98%E8%B4%B4%E7%94%BB/,92.0,1.0,0.0,83.0,9.0,2.0,1.0,225.0,20.0,4.0,81.0,0.0,0.0,0.0,0.0,0.0
69,http://9779.info/%E5%89%AA%E8%B4%B4%E7%94%BB%E5%88%9B%E6%84%8F/,56.0,1.0,0.0,47.0,9.0,2.0,1.0,225.0,16.0,4.0,45.0,0.0,0.0,0.0,0.0,0.0
73,http://9779.info/%E8%BF%90%E5%8A%A8%E4%BC%9A%E5%84%BF%E7%AB%A5%E7%94%BB%E4%BD%9C%E5%93%81/,83.0,1.0,0.0,74.0,9.0,2.0,1.0,225.0,22.0,4.0,72.0,0.0,0.0,0.0,0.0,0.0
74,http://wxztjz.com/e/public/onclick?enews=donews&classid=77&id=117,58.0,1.0,0.0,10.0,10.0,2.0,0.0,225.0,11.0,6.0,6.0,7.0,0.0,0.0,31.0,6.0
76,http://wxztjz.com/e/public/onclick?enews=donews&classid=65&id=84,57.0,1.0,0.0,10.0,10.0,2.0,0.0,225.0,11.0,6.0,6.0,7.0,0.0,0.0,30.0,6.0
77,http://9779.info/%E5%84%BF%E7%AB%A5%E6%89%8B%E5%B7%A5%E7%B2%98%E8%B4%B4%E7%94%BB%E5%9B%BE%E7%89%87/,92.0,1.0,0.0,83.0,9.0,2.0,1.0,225.0,22.0,4.0,81.0,0.0,0.0,0.0,0.0,0.0
80,http://9779.info/%E6%A0%91%E5%8F%B6%E8%B4%B4%E7%94%BB%E4%BD%9C%E5%93%81/,65.0,1.0,0.0,56.0,9.0,2.0,1.0,225.0,19.0,4.0,54.0,0.0,0.0,0.0,0.0,0.0
81,http://9779.info/%E5%B9%BC%E5%84%BF%E5%9B%AD%E7%B2%98%E8%B4%B4%E7%94%BB%E8%AF%B4%E8%AF%BE%E7%A8%BF/,92.0,1.0,0.0,83.0,9.0,2.0,1.0,225.0,20.0,4.0,81.0,0.0,0.0,0.0,0.0,0.0
82,http://9779.info/%E4%BA%BA%E7%89%A9%E6%8A%BD%E8%B1%A1%E9%BB%91%E7%99%BD%E8%A3%85%E9%A5%B0%E7%94%BB/,92.0,1.0,0.0,83.0,9.0,2.0,1.0,225.0,23.0,4.0,81.0,0.0,0.0,0.0,0.0,0.0
85,http://wxztjz.com/e/public/onclick?enews=donews&classid=64&id=129,58.0,1.0,0.0,10.0,10.0,2.0,0.0,225.0,11.0,6.0,6.0,7.0,0.0,0.0,31.0,6.0
87,http://9779.info/%E8%B1%86%E5%AD%90%E7%B2%98%E8%B4%B4%E7%94%BB%E8%9B%8B%E7%B3%95%E5%9B%BE%E7%89%87/,92.0,1.0,0.0,83.0,9.0,2.0,1.0,225.0,22.0,4.0,81.0,0.0,0.0,0.0,0.0,0.0
88,http://tamilcircle.net/index.php/plugins/content/sexybookmarks/plugins/system/jceutilities/css/components/com_jomcomment/templates/boxy/document/UTHR/information/Information_Bulletin_No_41.pdf,185.0,3.0,0.0,140.0,15.0,2.0,0.0,225.0,20.0,11.0,14.0,30.0,1.0,3.0,0.0,0.0
90,http://9779.info/%E5%9C%86%E7%9B%98%E5%AD%90%E8%B1%86%E8%B4%B4%E7%94%BB%E5%9B%BE%E7%89%87/,83.0,1.0,0.0,74.0,9.0,2.0,1.0,225.0,19.0,4.0,72.0,0.0,0.0,0.0,0.0,0.0
91,http://9779.info/%E5%85%83%E6%97%A6%E6%B0%B4%E5%BD%A9%E7%94%BB%E4%BD%9C%E5%93%81/,74.0,1.0,0.0,65.0,9.0,2.0,1.0,225.0,20.0,4.0,63.0,0.0,0.0,0.0,0.0,0.0
92,http://9779.info/%E7%BA%B8%E7%BB%B3%E7%B2%98%E8%B4%B4%E7%94%BB%E8%91%A1%E8%90%84%E5%9B%BE%E7%89%87/,92.0,1.0,0.0,83.0,9.0,2.0,1.0,225.0,22.0,4.0,81.0,0.0,0.0,0.0,0.0,0.0
94,http://9779.info/%E9%B1%BC%E7%9A%84%E6%AF%9B%E7%BA%BF%E7%B2%98%E8%B4%B4%E7%94%BB/,74.0,1.0,0.0,65.0,9.0,2.0,1.0,225.0,20.0,4.0,63.0,0.0,0.0,0.0,0.0,0.0
95,http://9779.info/%E5%8D%8A%E7%AB%8B%E4%BD%93%E5%B9%BC%E5%84%BF%E5%89%AA%E8%B4%B4%E7%94%BB/,83.0,1.0,0.0,74.0,9.0,2.0,1.0,225.0,22.0,4.0,72.0,0.0,0.0,0.0,0.0,0.0
96,http://9779.info/%E8%A1%8D%E7%BA%B8%E8%B4%B4%E7%94%BB%E5%9B%BE%E7%89%87%E6%AC%A3%E8%B5%8F/,83.0,1.0,0.0,74.0,9.0,2.0,1.0,225.0,22.0,4.0,72.0,0.0,0.0,0.0,0.0,0.0
97,http://9779.info/%E7%A2%8E%E5%8D%A1%E7%BA%B8%E7%B2%98%E8%B4%B4%E7%94%BB/,65.0,1.0,0.0,56.0,9.0,2.0,1.0,225.0,17.0,4.0,54.0,0.0,0.0,0.0,0.0,0.0
99,http://wxztjz.com/e/public/onclick?enews=donews&classid=76&id=88,57.0,1.0,0.0,10.0,10.0,2.0,0.0,225.0,11.0,6.0,6.0,7.0,0.0,0.0,30.0,6.0
100,http://9779.info/%E5%BD%A9%E7%BA%B8%E7%AB%8B%E4%BD%93%E5%89%AA%E8%B4%B4%E7%94%BB/,74.0,1.0,0.0,65.0,9.0,2.0,1.0,225.0,19.0,4.0,63.0,0.0,0.0,0.0,0.0,0.0
101,http://9779.info/%E7%BE%8E%E6%9C%AF%E5%89%AA%E8%B4%B4%E7%94%BB%E6%B5%B7%E7%BB%B5%E7%BA%B8%E5%9B%BE/,92.0,1.0,0.0,83.0,9.0,2.0,1.0,225.0,21.0,4.0,81.0,0.0,0.0,0.0,0.0,0.0
102,http://9779.info/%E5%B9%BC%E5%84%BF%E5%90%B8%E7%AE%A1%E7%B2%98%E8%B4%B4%E7%94%BB/,74.0,1.0,0.0,65.0,9.0,2.0,1.0,225.0,19.0,4.0,63.0,0.0,0.0,0.0,0.0,0.0
103,http://wxztjz.com/e/public/onclick?enews=donews&classid=65&id=125,58.0,1.0,0.0,10.0,10.0,2.0,0.0,225.0,11.0,6.0,6.0,7.0,0.0,0.0,31.0,6.0
105,http://9779.info/%E6%96%87%E6%98%8E%E7%A4%BC%E4%BB%AA%20%E5%89%AA%E8%B4%B4%E7%94%BB/,77.0,1.0,0.0,68.0,9.0,2.0,1.0,225.0,20.0,4.0,66.0,0.0,0.0,0.0,0.0,0.0
107,http://9779.info/%E4%B9%8C%E9%B8%A6%E5%96%9D%E6%B0%B4%E6%A0%91%E5%8F%B6%E7%94%BB/,74.0,1.0,0.0,65.0,9.0,2.0,1.0,225.0,22.0,4.0,63.0,0.0,0.0,0.0,0.0,0.0
109,http://9779.info/%E7%A2%8E%E5%B8%83%E5%A4%B4%E5%88%B6%E4%BD%9C%E8%B4%B4%E7%94%BB/,74.0,1.0,0.0,65.0,9.0,2.0,1.0,225.0,19.0,4.0,63.0,0.0,0.0,0.0,0.0,0.0
110,http://9779.info/%E5%BA%9F%E6%97%A7%E6%9D%90%E6%96%99%E5%89%AA%E8%B4%B4%E7%94%BB/,74.0,1.0,0.0,65.0,9.0,2.0,1.0,225.0,20.0,4.0,63.0,0.0,0.0,0.0,0.0,0.0
111,http://shicaifanxin.cn/index.php?s=video/search/wd/%E5%BE%97%E5%BE%97%E7%88%B1,71.0,2.0,0.0,29.0,15.0,2.0,0.0,225.0,14.0,12.0,17.0,27.0,0.0,0.0,0.0,0.0
112,http://bisaneema.org/%e0%a4%95%e0%a5%81%e0%a4%b2%e0%a4%a6%e0%a5%87%e0%a4%b5%e0%a5%80/,78.0,1.0,0.0,65.0,13.0,2.0,0.0,225.0,13.0,9.0,63.0,0.0,0.0,0.0,0.0,0.0
113,http://9779.info/%E5%84%BF%E7%AB%A5%E5%BD%A9%E7%BA%B8%E7%B2%98%E8%B4%B4%E7%94%BB/,74.0,1.0,0.0,65.0,9.0,2.0,1.0,225.0,19.0,4.0,63.0,0.0,0.0,0.0,0.0,0.0
114,http://9779.info/%E6%96%87%E6%98%8E%E5%9C%A8%E6%88%91%E5%AE%B6%E5%89%AA%E8%B4%B4%E7%94%BB/,83.0,1.0,0.0,74.0,9.0,2.0,1.0,225.0,22.0,4.0,72.0,0.0,0.0,0.0,0.0,0.0
115,http://9779.info/%E6%9D%90%E6%96%99%E8%A1%A8%E7%8E%B0%E6%8B%BC%E8%B4%B4%E7%94%BB/,74.0,1.0,0.0,65.0,9.0,2.0,1.0,225.0,19.0,4.0,63.0,0.0,0.0,0.0,0.0,0.0
117,http://advancedphotoshop.co.uk/forum/viewtopic.php?p=223&sid=2ae245e5c8120bb706e0e72a7ddcabb8,86.0,3.0,0.0,7.0,23.0,3.0,1.0,225.0,10.0,17.0,5.0,13.0,1.0,0.0,43.0,32.0
118,http://9779.info/kt%E7%8C%AB%E7%9A%AE%E8%B4%B4%E7%94%BB%E5%9B%BE%E7%89%87/,67.0,1.0,0.0,58.0,9.0,2.0,1.0,225.0,18.0,4.0,56.0,0.0,0.0,0.0,0.0,0.0
119,http://9779.info/%E5%84%BF%E7%AB%A5%E8%80%81%E8%99%8E%E6%A0%91%E5%8F%B6%E7%B2%98%E8%B4%B4%E7%94%BB/,92.0,1.0,0.0,83.0,9.0,2.0,1.0,225.0,24.0,4.0,81.0,0.0,0.0,0.0,0.0,0.0
120,http://9779.info/%E5%B9%BC%E5%84%BF%E5%9B%AD%E8%83%8C%E6%99%AF%E5%A2%99%E5%89%AA%E8%B4%B4%E7%94%BB/,92.0,1.0,0.0,83.0,9.0,2.0,1.0,225.0,23.0,4.0,81.0,0.0,0.0,0.0,0.0,0.0
122,http://bisaneema.org/%e0%a5%a7%e0%a5%ac-%e0%a4%b5%e0%a4%be-%e0%a4%aa%e0%a4%b0%e0%a4%bf%e0%a4%9a%e0%a4%af-%e0%a4%b8%e0%a4%ae%e0%a5%8d%e0%a4%ae%e0%a4%b2%e0%a5%87%e0%a4%a8/,162.0,1.0,0.0,149.0,13.0,2.0,0.0,225.0,21.0,9.0,147.0,0.0,0.0,0.0,0.0,0.0
126,http://haishundl.com/a/qinpengqipaiguanfangxiazai/20131018/257.html,60.0,2.0,0.0,39.0,13.0,2.0,0.0,225.0,7.0,9.0,26.0,8.0,1.0,0.0,0.0,0.0
127,http://9779.info/%E4%BA%91%E6%9C%B5%20%E5%89%AA%E8%B4%B4%E7%94%BB/,59.0,1.0,0.0,50.0,9.0,2.0,1.0,225.0,18.0,4.0,48.0,0.0,0.0,0.0,0.0,0.0
128,http://9779.info/%E5%B9%BC%E5%84%BF%E6%88%91%E7%88%B1%E5%8A%A8%E7%89%A9%E5%89%AA%E8%B4%B4%E7%94%BB/,92.0,1.0,0.0,83.0,9.0,2.0,1.0,225.0,22.0,4.0,81.0,0.0,0.0,0.0,0.0,0.0
129,http://9779.info/%E5%BD%A9%E7%BA%B8%E5%86%9B%E4%BA%BA%E5%89%AA%E8%B4%B4%E7%94%BB/,74.0,1.0,0.0,65.0,9.0,2.0,1.0,225.0,18.0,4.0,63.0,0.0,0.0,0.0,0.0,0.0
130,http://9779.info/%E6%AF%9B%E7%BA%BF%E8%B4%B4%E7%94%BB%20%E5%9C%BA%E6%99%AF%E5%9B%BE/,77.0,1.0,0.0,68.0,9.0,2.0,1.0,225.0,18.0,4.0,66.0,0.0,0.0,0.0,0.0,0.0
132,http://djdj4.com/Js/?http://us.battle.net/login/en/?ref=http%3A%2F%2Fus.battle.net%2Fd3%2Fen%2Findex&amp;app=com-d3,108.0,5.0,0.0,35.0,9.0,2.0,0.0,225.0,19.0,5.0,13.0,0.0,0.0,0.0,64.0,44.0
133,http://9779.info/%E6%A0%91%E5%8F%B6%E8%B4%B4%E7%94%BB%E4%BD%9C%E5%93%81%20%E6%88%BF%E5%AD%90/,86.0,1.0,0.0,77.0,9.0,2.0,1.0,225.0,24.0,4.0,75.0,0.0,0.0,0.0,0.0,0.0
135,http://haishundl.com/a/qinpengqipaiguanfangxiazai/20131014/226.html,60.0,2.0,0.0,39.0,13.0,2.0,0.0,225.0,7.0,9.0,26.0,8.0,1.0,0.0,0.0,0.0
136,http://9779.info/%E5%B9%BC%E5%84%BF%E5%9B%AD%E8%B1%86%E5%AD%90%E7%B2%98%E8%B4%B4%E7%94%BB%E6%95%99%E6%A1%88/,101.0,1.0,0.0,92.0,9.0,2.0,1.0,225.0,25.0,4.0,90.0,0.0,0.0,0.0,0.0,0.0
138,http://9779.info/%E6%89%8B%E5%B7%A5%E6%9C%8D%E8%A3%85%E5%B8%83%E8%B4%B4%E7%94%BB%E5%9B%BE%E7%89%87/,92.0,1.0,0.0,83.0,9.0,2.0,1.0,225.0,23.0,4.0,81.0,0.0,0.0,0.0,0.0,0.0
140,http://9779.info/%E5%8A%A8%E7%89%A9%E7%93%9C%E5%AD%90%20%E8%B4%B4%E7%94%BB/,68.0,1.0,0.0,59.0,9.0,2.0,1.0,225.0,18.0,4.0,57.0,0.0,0.0,0.0,0.0,0.0
144,http://9779.info/%E7%A2%8E%E5%B8%83%E5%A4%B4%E5%88%B6%E4%BD%9C%E8%B4%B4%E7%94%BB%E5%9B%BE%E8%A7%A3/,92.0,1.0,0.0,83.0,9.0,2.0,1.0,225.0,23.0,4.0,81.0,0.0,0.0,0.0,0.0,0.0
145,http://9779.info/%E6%B0%91%E6%97%8F%E5%B8%83%E8%89%BA%E8%B4%B4%E7%94%BB/,65.0,1.0,0.0,56.0,9.0,2.0,1.0,225.0,18.0,4.0,54.0,0.0,0.0,0.0,0.0,0.0
147,http://www.hfacn.com/tag/%E4%BC%9F%E5%93%A5%E7%9A%84%E5%89%AF%E4%BD%9C%E7%94%A8-cn,75.0,2.0,0.0,5.0,13.0,3.0,0.0,225.0,21.0,5.0,3.0,57.0,0.0,1.0,0.0,0.0
149,http://9779.info/%E5%B8%83%E8%B4%B4%E7%94%BB%20%E5%8D%A1%E9%80%9A%E5%9B%BE%E7%89%87/,77.0,1.0,0.0,68.0,9.0,2.0,1.0,225.0,21.0,4.0,66.0,0.0,0.0,0.0,0.0,0.0
151,http://9779.info/%E6%89%8B%E5%B7%A5%E6%92%95%E7%BA%B8%E6%8B%BC%E8%B4%B4%E7%94%BB/,74.0,1.0,0.0,65.0,9.0,2.0,1.0,225.0,19.0,4.0,63.0,0.0,0.0,0.0,0.0,0.0
158,http://9779.info/%E5%88%9B%E6%84%8F%E6%89%8B%E5%B7%A5%E5%89%AA%E7%BA%B8%E7%B2%98%E8%B4%B4%E7%94%BB/,92.0,1.0,0.0,83.0,9.0,2.0,1.0,225.0,23.0,4.0,81.0,0.0,0.0,0.0,0.0,0.0
160,http://9779.info/%E5%88%9B%E6%84%8F%E6%8A%98%E7%BA%B8%E7%B2%98%E8%B4%B4%E7%94%BB/,74.0,1.0,0.0,65.0,9.0,2.0,1.0,225.0,19.0,4.0,63.0,0.0,0.0,0.0,0.0,0.0
162,http://9779.info/%E8%B1%86%E5%AD%90%E9%BB%8F%E8%B4%B4%E7%94%BB/,56.0,1.0,0.0,47.0,9.0,2.0,1.0,225.0,15.0,4.0,45.0,0.0,0.0,0.0,0.0,0.0
163,http://9779.info/%E5%86%B0%E6%A3%92%E6%A3%8D%E7%B2%98%E8%B4%B4%E7%94%BB/,65.0,1.0,0.0,56.0,9.0,2.0,1.0,225.0,17.0,4.0,54.0,0.0,0.0,0.0,0.0,0.0
